Name,Type,Address,Distance(Meters),Latitude,Longitude,Rating,Price
Mexilulu,Mexican,"3 Aloha Tower Dr, Ste 1311, Honolulu, HI 96813",2274.654424373654,21.30642,-157.86553,4.4,N/A
Hula Grill Waikiki,Hawaiian,"2335 Kalakaua Ave, Ste 203, Honolulu, HI 96815",4338.555315657287,21.277015,-157.827677,4.1,$$
XO Restaurant,Asian Fusion,"3434 Waialae Ave, Ste 5, Honolulu, HI 96816",5379.626324856489,21.28486,-157.80262,4.6,$$
Musubi Cafe Iyasume,Japanese,"2427 Kuhio Ave, Fl 1, Aqua Pacific Monarch Hotel, Honolulu, HI 96815",4574.765394051204,21.27651520345242,-157.8237345808766,4.5,$
Lucky Belly,Bars,"50 N Hotel St, Honolulu, HI 96817",1761.876750818994,21.31181,-157.86213,4.3,$$
Moani Waikiki Island Bistro & Bar,Seafood,"2330 Kalakaua Ave, Ste 312, Honolulu, HI 96815",4254.652616313435,21.27826,-157.82658,4.1,$$
Roy's Waikiki,Hawaiian,"226 Lewers St, Honolulu, HI 96815",4000.031708554949,21.278739286639873,-157.83168809003885,4.3,$$$
Tempura Kiki,Japanese,"2250 Kalakaua Ave, Lower Level 100-6, Honolulu, HI 96815",4069.3320804844516,21.279419,-157.828457,4.8,$$
Aloha Table,Hawaiian,"2238 Lauula St, Fl 2, Honolulu, HI 96815",4026.7950686782956,21.27988690560841,-157.828208,4.0,$$
Kirin Restaurant,Seafood,"2424 Kalakaua Ave, Ste 103, Honolulu, HI 96815",4537.471856126554,21.276145,-157.825078,4.2,$$
Tommy Bahama Restaurant | Bar | Store - Waikiki,New American,"298 Beachwalk Dr, Honolulu, HI 96815",3788.8286932666365,21.2811643021006,-157.830705424681,4.4,$$$
Tikis Grill & Bar,Seafood,"2570 Kalakaua Ave, Honolulu, HI 96815",5028.828088905988,21.272458291032645,-157.8225621510433,4.0,$$
Pau Hana Place,Seafood,"95 Holomoana St, Honolulu, HI 96815",2845.9234313312463,21.2871179,-157.8409306,4.6,$$
Tonkatsu Tamafuji,Japanese,"449 Kapahulu Ave, Ste 203, Honolulu, HI 96815",5191.03083685735,21.27496581214703,-157.81540659580557,4.6,$$
Blue Water Shrimp & Seafood,Seafood,"2005 Kalia Rd, Honolulu, HI 96815",3378.6844837977183,21.28403,-157.83603,4.2,$$
Scratch Kitchen - Ward,Breakfast & Brunch,"1170 Auahi St, Ste 175, Honolulu, HI 96814",2175.3410948782507,21.2934571,-157.8507377,4.0,$$
Helena's Hawaiian Food,Hawaiian,"1240 N School St, Honolulu, HI 96817",2911.240965211897,21.33095,-157.8651,4.4,$$
Aina Steak & Seafood,Steakhouses,"342 Lewers St, Urban Honolulu, HI 96815",3865.3596896265326,21.28117,-157.829,4.8,N/A
Korea Garden,Korean,"1683 Kalākaua Ave, Honolulu, HI 96826",2424.056186172595,21.292158406281036,-157.83662393689156,4.7,N/A
Bambino's,Italian,"59-864 Kamehameha Hwy, Honolulu, HI 96813",1777.2935311067438,21.300497993968953,-157.8568654924034,4.8,N/A
San Paolo Pizzeria,Pizza,"1765 Ala Moana Blvd, Ste CM3, Honolulu, HI 96815",3045.529421161389,21.28552762699498,-157.8395570684579,4.7,N/A
Mara,Mediterranean,"1390 Kapiolani Blvd, Honolulu, HI 96813",2065.001985999382,21.294027,-157.843519,3.9,N/A
Little Plum,Asian Fusion,"2754 Woodlawn Dr, Honolulu, HI 96822",3660.7311065586546,21.3078542,-157.8103793,4.8,N/A
Cino,Italian,"987 Queen St, Ste 100, Honolulu, HI 96814",2061.058158431635,21.29579242605607,-157.85427482200674,4.6,$$$$
Khan Skewer Restaurant,Barbeque,"925 Isenberg St, Honolulu, HI 96826",3020.8349889079477,21.29238,-157.8254,4.5,N/A
Maguro Brothers Hawaii - Waikiki,Sushi Bars,"2250 Kalākaua Ave, Honolulu, HI 96815",4027.806204679357,21.279651276487577,-157.82870850410697,4.4,$$
Eating House 1849 - Waikiki,Seafood,"2330 Kalakaua Ave, Space 322, Honolulu, HI 96815",4292.945527902974,21.2778288,-157.8268801,4.0,$$$
Sura Hawaii,Korean,"1726 Kapiolani Blvd, Honolulu, HI 96814",2554.304899431091,21.290838478620472,-157.83680095641404,4.0,$$
Ono Seafood,Seafood,"747 Kapahulu Ave, Honolulu, HI 96816",4774.000477260557,21.281063724409982,-157.8138528318885,4.6,$$
Aloha Kitchen,Breakfast & Brunch,"432 Ena Rd, Honolulu, HI 96815",3136.24390093611,21.28583,-157.83516,4.2,$$
Royal Lobster,Seafood,"2250 Kalakaua Ave, Honolulu, HI 96815",4027.396745503214,21.27964353221481,-157.82873524967047,4.8,$$
ShoreFyre,Breakfast & Brunch,"2446 Koa Ave, Honolulu, HI 96815",4623.124192156121,21.275787,-157.824123,3.9,$$
Heavenly Island Lifestyle - Waikiki,Breakfast & Brunch,"342 Seaside Ave, Honolulu, HI 96815",4045.393802222925,21.279847,-157.827817,4.2,$$
The Pupu House,Tiki Bars,"310 Lewers St, Honolulu, HI 96815",3903.910735450441,21.280564,-157.829594,4.5,$$
